ρ,Итерации,f(x*),Сошлось?
0.7,438,3.628e-18,✓
0.8,516,2.068e-17,✓
0.9,656,1.645e-17,✓
0.95,794,1.808e-17,✓
0.99,1186,2.318e-17,✓
