α,Итерации,f(x*),Сошлось?
0.01,—,8.166e-09,✗
0.03,22780,2.498e-17,✓
0.05,8417,2.488e-17,✓
0.1,2232,2.492e-17,✓
0.2,617,2.384e-17,✓
